"Comment";"Reference(s)";"Description";"Qty";"Manufacturer";"ManufacturerPartNo";"Supplier"
"1nF";"C1, C7, C67, C73, C74, C75, ";"Capacitator, 1nF, 50V, 5%, NP0, SMT, 0805";"6";"WALSIN;";"0805N102J500CT";"LOM-82-11-37;"
"22pF";"C2, C3, ";"Capacitator, 22pF, 50V, 5%, NP0, SMT, 0805";"2";"SAMSUNG";"CL21C220JBANNNC";"LOM-82-09-18;"
"100nF";"C4, C8, C9, C11, C12, C13, C15, C18, C19, C20, C23, C25, C27, C28, C32, C35, C38, C40, C42, C44, C46, C47, C50, C51, C54, C56, C58, C60, C62, C64, C66, C68, C70, C71, C72, C76, ";"Capacitator, 100nF, 50V, 10%, X7R, SMT, 0805";"36";"YAGEO";"CC0805KRX7R9BB104";"FAR-3019949;LOM-82-01-25"
"22uF";"C5, C69, C77, ";"Capacitator, 22uF, 6.3V, 20%, X5R, SMT, 0805";"3";"SAMSUNG";"CL21A226MQQNNNG";"LOM-82-08-19;TME-CL21A226MQQNNNG"
"1uF";"C6, C10, C14, C16, C17, C21, C22, C24, C26, C33, C34, C37, C39, C41, C43, C45, C48, C49, C53, C55, C57, C59, C61, C63, C65, ";"Capacitator, 1uF, 16V, 10%, X7R, SMT, 0805";"25";"YAGEO; SAMSUNG;";"CC0805KKX7R7BB105;CL21B105KBFNNNG;";"LOM-82-05-11;FAR-2370711;TME-CC0805KKX7R7BB105;"
"10nF";"C29, ";"Capacitator, 10nF, 50V, 10%, C0G, SMT, 0805";"1";"WALSIN";"0805N103J500";"TME-0805N103J500;"
"47pF";"C30, C31, ";"Capacitator, 47pF, 50V, 5%, NP0, SMT, 0805";"2";"SAMSUNG;";"CL21C470JBANNNC;";"LOM-82-05-57;TME-CL21C470JBANNNC;"
"1000uF/10V";"C36, ";"Electrolytic Capacitors, 1000uF, 10V, Low ESR, 20%, THT, 8x15x3.5mm";"1";"Teapo Electronic Corp";"DSC108M010S1ACG15K";"LOM-12-18-85;"
"Green";"D1, D2, D3, D4, D8, D9, D10, D11, D13, D15, D17, D19, ";"LED, Green, SMT, 0805";"12";"KINGBRIGHT";"KP-2010SGC";"TME-KP-2012SGC;FAR-2099239;LOM-95-01-09"
"STPS340U";"D5, ";"Diode, SMT, DO-214AA";"1";"STM";"STPS340U";"FAR-9803548;LOM-83-02-19;TME-STPS340U"
"P6SMB15A";"D7, ";"TVS,15V, Uni, SMT, SMB";"1";"Littlefuse";"P6SMB15A";"LOM-96-00-61;"
"LL4148";"D12, D14, D16, D18, D20, ";"Diode, SMT, SOD-80";"5";"DIOTEC";"LL4148";"TME-LL4148-DIO;LOM-83-00-93;"
"PinHeader 01x06 Male";"J1, ";"Connector Pin Header, 01x06, 2.54, Right Angle, Male, THT";"1";"T&T CONNECTION";"PHSR-40 (T-T) 2.54mm";"LOM-43-00-47"
"USB-B-04PFHTW";"J3, ";"Connector USB, USB B, Socket , 90°, THT";"1";"T&T CONNECTION";"USB-A-S04PFHTW;MX-67068-8000;";"LOM-43-14-75;TME-MX-67068-8000;"
"FC68148";"J4, ";"Connector DC, Scoket, 5.5/2.1mm,  Right Angle, THT";"1";"CLIFF;";"DC-10A FC68148;";"TME-FC68148; FAR-224959;LOM-43-07-67;"
"100R@100MHz";"L1, ";"Filter, 3A, 100R, SMT, 0805";"1";"VIKING";"CB05YTYH101";"LOM-93-03-09;"
"100uH";"L2, ";"Inductor, 100uH, 1.9A, SMT, SLF12575";"1";"TDK";"SLF12575T-101M1R9-H;";"LOM-93-04-07; FAR-3648471;"
"DIN41612 3x32";"P1, P3, ";"Connector Eurocard DIN 41612, 3x32, C, Female, Right Angle, THT";"2";"HARTING;";"09732966801";"TME-09732966801; FAR-1096942; RSC-470-443;"
"DIN41612 5x32";"P2, ";"Connector Eurocard DIN 41612, 160, a+b+c+d+e, C, Female, 90°, THT";"1";"ERNI";"374380";"MOU-305-374380;"
"PinHeader 01x06 Male";"P4, ";"Connector Pin Header, 01x06, 2.54, Right Angle, Male, THT";"1";"T&T CONNECTION";"PHSR-40 (T-T) 2.54mm";"LOM-43-00-47"
"BSP250";"Q1, Q3, ";"P-MOSFET, SMD, SOT-223";"2";"Philips";"BSP250.115";"TME-BSP250; LOM-86-04-95; FAR-1758086"
"BC817";"Q2, Q4, Q5, Q7, Q9, Q11, Q13, Q15, ";"Transistor, NPN, SMT, SOT-23";"8";"ON Semiconductor";"BC817-25LT1G";"LOM-86-01-90;FAR-1130682;RSC-748-4997;TME-BC817-25LT1G"
"SI2315BDS";"Q6, Q8, Q10, Q12, Q14, ";"P-MOSFET, SMD, SOT-23";"5";"VISHAY";"SI2315BDS-T1-E3";"LOM-86-02-81;FAR-1470105;LOM-86-03-94; FAR-2283650;TME-SI2315BDS-T1-E3;"
"10K0";"R1, R2, R16, R17, R123, R124, R125, R129, ";"Resistor, 10K0, 0.125W, 1%, SMT, 0805";"8";"Walsin";"WR08X471JTL";"LOM-80-10-98;"
"1K00";"R3, R10, R11, R12, R13, R14, R15, R18, R19, R32, R40, R41, R65, R66, R80, R97, R101, R104, R107, R110, R112, ";"Resistor, 1K00, 0.125W, 1%, SMT, 0805";"21";"VIKING";"RC0805FR-101KL;";"LOM-80-52-91;"
"200R";"R4, R7, R62, R63, R99, ";"Resistor, 200R, 0.125W, 1%, SMT, 0805";"5";"VIKING;";"CR-05FL7--200R;";"LOM-80-11-41;"
